#include "messages.h"

ADVERT_VOL_UP;"Lautstärke erhöht."
ADVERT_VOL_DOWN;"Lautstärke verringert."
MESSAGE_CARD_ASSIGNED;"OK, ich habe die Karte mit dem Ordner verknüpft. Wähle nun mit den Lautstärke Tasten den Wiedergabemodus aus."
MESSAGE_CARD_CONFIGURED;"OK. Ich habe die Karte konfiguriert."
MESSAGE_ERROR;"Das hat leider nicht geklappt!"
MESSAGE_MENU_NEW_CARD;"Neue Karte anlernen oder Karte neu aufsetzen."
MESSAGE_MENU_VOL_INIT;"Initiale Lautstärke festlegen."
MESSAGE_MENU_VOL_MAX;"Setze die maximale Lautstärke."
MESSAGE_MENU_VOL_MIN;"Setze die minimale Lautstärke."
MESSAGE_MENU_VOL_STEP;"Setze die Schrittweite der Lautstärkeregelung."
MESSAGE_MENU_EXIT;"Menu verlassen."
MESSAGE_MENU_WELCOME;"Willkommen im Menu. Unterpunkte mit den Lautstärketasten auswählen, mit Pause bestätigen."
MESSAGE_MODE_ADMIN;"Admin Funktionen."
MESSAGE_MODE_ALBUM;"Albummodus: Den kompletten Ordner wiedergeben"
MESSAGE_MODE_AUDIOBOOK;"Hörbuch Modus: Einen Ordner wiedergeben und den Fortschritt speichern."
MESSAGE_MODE_MOD;"Modifikator Karte"
MESSAGE_MODE_PARTY;"Party Modus: Ordner zufällig wiedergeben."
MESSAGE_MODE_RADIO_PLAY;"Hörspielmodus: Eine zufällige Datei aus dem Ordner wiedergeben"
MESSAGE_MODE_SINGLE;"Einzel Modus: Eine bestimmte Datei im Ordner wiedergeben."
MESSAGE_NEW_CARD;"Eine neue Karte! Verwende die Lautstärke Tasten um einen Ordner für die Karte auszuwählen. Drücke die Pause Taste um die Auswahl zu speichern."
MESSAGE_RESET_DONE;"Reset wurde durchgeführt!"
MESSAGE_RESET_TAG;"OK, du kannst den Tag nun wieder neu konfigurieren."
MESSAGE_SELECT_FILE;"OK, wähle nun bitte die Datei mit den Lautstärke Tasten aus."
